"","Major Change Timestamp","Chg Type","","Listing ID","S","Sub Type","St#","St Name","City","Area","SLC","L/C Price","Br/Ba","Yr Built","Sqft","Lot Size Square Feet","DAM/CDAM","MLS"
"1","03/23/26","New","","SB26063017","A","SFR/D","46","Empty Saddle RD  ","RHE","165","STD","$3,985,000","5/2,2,1,0","1947/PUB","3101/A","21,366","14/14","CRMLSM"
"1","03/12/26","New","","PV26054163","A","SFR/D","9","Casaba RD  ","RHE","165","STD","$4,500,000","5/3,1,2,0","2016/ASR","4855/A","18,836","25/25","CRMLSM"
"1","04/01/26","Price Chg","$2,575K-&gt$2,495K","PV25157424","A","SFR/D","2","Chuckwagon RD  ","RH","166","STD","$2,495,000","3/2,0,1,0","1949/ASR","2600/AP","50,838","266/266","CRMLSM"
"1","02/06/26","New","","PV26027861","A","SFR/D","3","Poppy Trail   ","RH","166","STD","$4,750,000","4/2,3,1,0","1957/ASR","4641/E","120,486","59/59","CRMLSM"
"1","03/24/26","BoM","H-A","PV26001465","A","SFR/D","67","Eastfield   ","RH","166","STD","$4,995,000","4/4,0,0,0","2015/ASR","3536/D","55,412","85/85","CRMLSM"
"1","03/12/26","New","","WS26055189","A","SFR/D","2","Bowie RD  ","RH","166","STD","$5,280,000","5/7,0,0,0","2013/SEE","5035/E","41,061","25/25","CRMLSM"
"1","03/31/26","BoM","H-A","PV25272474","A","SFR/D","57","Saddleback   ","RH","166","STD","$5,895,000","4/5,0,0,0","1939/ASR","5274/D","84,743","116/365","CRMLSM"
"1","03/26/26","New","","WS26065821","A","SFR/D","60","Crest RD  E","RH","166","STD","$6,000,000","5/6,0,0,0","1990/ASR","7085/A","138,212","11/340","CRMLSM"
"1","07/10/25","Price Chg","$6,500K-&gt$6,000K","PV24234187","A","SFR/D","50","Eastfield DR  ","RH","166","STD,TRUS","$6,000,000","5/2,3,1,0","1999/ASR","6600/E","73,586","499/499","CRMLSM"
"1","03/30/26","BoM","H-A","PV26057607","A","SFR/D","49","Saddleback   ","RH","166","STD","$6,450,000","6/6,0,1,0","1998/ASR","7250/D","86,145","15/15","CRMLSM"
"1","03/17/26","New","","PV26058396","A","SFR/D","80","Saddleback   ","RH","166","STD","$7,270,000","7/6,2,3,0","2026/OTH","13617/OTH","307,671","20/20","CRMLSM"
"1","03/16/26","New","","PV26057028","A","SFR/D","100","Saddleback   ","RH","166","STD","$8,750,000","6/7,0,0,0","1952/ASR","6269/A","187,893","21/21","CRMLSM"
"1","03/03/26","New","","PV26046180","A","SFR/D","38","Saddleback   ","RH","166","STD","$19,800,000","5/1,4,6,0","2015/ASR","9463/O","54,732","34/34","CRMLSM"
"1","03/09/26","New","","PW26050645","A","SFR/D","1","Cayuse LN  ","RPV","167","STD","$1,649,000","3/3,0,0,0","1963/ASR","2035/A","19,723","28/28","CRMLSM"
"1","03/20/26","Price Chg","$1,780K-&gt$1,725K","PV26045323","A","SFR/D","2222","Rue Le Charlene   ","RPV","167","STD","$1,725,000","5/3,0,0,0","1969/ASR","2398/A","22,118","35/35","CRMLSM"
"1","03/10/26","Price Chg","$2,200K-&gt$2,195K","OC25264189","A","SFR/D","2831","Via El Miro   ","RPV","167","STD","$2,195,000","4/2,0,0,0","1958/ASR","2471/A","16,704","117/117","CRMLSM"
"1","04/01/26","Price Chg","$2,275K-&gt$2,250K","PV25156715","A","SFR/D","3311","Crownview DR  ","RPV","167","STD","$2,250,000","4/3,0,0,0","1977/ASR","3290/A","19,528","268/268","CRMLSM"
"1","03/27/26","New","","PV26065880","A","SFR/D","6616","Via Colinita   ","RPV","167","STD","$2,445,000","4/2,0,1,0","1989/ASR","3214/A","7,294","10/10","CRMLSM"
"1","02/21/26","New","","SB26038926","A","SFR/D","29815","knollview dr   ","RPV","167","STD","$2,600,000","4/4,0,0,0","1968/BLD","3016/E","18,295","44/381","CRMLSM"
"1","02/06/26","Price Chg","$2,799K-&gt$2,749K","PV25263768","A","SFR/D","29865","Knoll View   ","RPV","167","STD","$2,749,000","4/3,0,0,0","1968/ASR","2828/A","16,122","137/137","CRMLSM"
"1","03/27/26","New","","PV26062122","A","SFR/D","49","Headland DR  ","RPV","167","STD","$2,800,000","3/2,2,0,0","1951/ASR","2754/A","26,513","10/10","CRMLSM"
"1","03/02/26","BoM","H-A","PV26023893","A","SFR/D","28056","Palos Verdes Drive East   ","RPV","167","STD","$3,200,000","6/1,3,1,0","1955/ASR","4138/E","26,725","48/48","CRMLSM"
"1","10/08/25","New","","PV25235652","A","SFR/D","43","Avenida Corona   ","RPV","167","STD","$3,250,000","5/4,0,0,0","2010/ASR","4524/A","19,568","180/333","CRMLSM"
"1","03/16/26","New","","SB26056041","A","SFR/D","31211","Floweridge DR  ","RPV","168","STD","$1,600,000","3/2,0,0,0","1969/PUB","1929/P","9,134","21/21","CRMLSM"
"1","03/09/26","New","","OC26046198","A","SFR/D","2704","Vista Mesa   ","RPV","168","STD","$1,800,000","5/2,0,1,0","1960/EST","1893/A","10,146","28/28","CRMLSM"
"1","03/13/26","BoM","H-A","PV25254593","A","SFR/D","3554","Seaglen   ","RPV","168","STD","$1,887,000","4/2,0,1,0","1971/ASR","2115/A","9,764","152/152","CRMLSM"
"1","03/25/26","Price Chg","$2,170K-&gt$2,000K","SB25042936","A","SFR/D","4","Paseo De Castana   ","RPV","168","STD","$1,999,999","4/4,0,1,0","1998/PUB","4017/A","9,887","404/404","CRMLSM"
"1","03/26/26","Price Chg","$2,350K-&gt$2,298K","SB26043408","A","SFR/D","3226","Corinna   ","RPV","168","STD","$2,298,000","4/2,0,1,0","1962/ASR","2487/A","12,075","35/35","CRMLSM"
"1","04/01/26","Price Chg","$2,499K-&gt$2,399K","SB26033352","A","SFR/D","20","Paseo De Castana   ","RPV","168","STD,TRUS","$2,399,000","4/5,0,0,0","1998/PUB","4001/A","8,479","50/50","CRMLSM"
"1","03/26/26","New","","SB26063141","A","SFR/D","3550","Coolheights   ","RPV","168","STD","$2,499,000","4/4,0,0,0","1970/PUB","3309/A","12,222","11/11","CRMLSM"
"1","03/20/26","Price Chg","$2,650K-&gt$2,499K","SB26040913","A","SFR/D","2","Avenida De Olma   ","RPV","168","STD","$2,499,000","4/4,0,0,0","1990/ASR","4741/A","8,121","38/38","CRMLSM"
"1","","Price Chg","$3,150K-&gt$3,050K","26636723","A","SFR/D","3304","Seaclaire DR  ","RPV","168","STD","$3,050,000","4/3,0,0,0","1965","2547/","12,132","82/82","CLAW"
"1","08/29/25","New","","SB25194384","A","SFR/D","2935","Vista del Mar   ","RPV","168","STD","$13,999,999","5/6,0,1,0","2019/SLR","7634/P","27,878","220/220","CRMLSM"
"1","03/16/26","Price Chg","$1,500K-&gt$1,200K","SB25229708","A","SFR/D","1","Thyme   ","RPV","169","STD","$1,200,000","5/1,3,0,0","1950/ASR","2000/A","33,742","187/187","CRMLSM"
"1","02/20/26","New","","PV26005928","A","SFR/A","6508","Sandy Point CT  ","RPV","169","STD","$1,765,000","3/3,0,0,0","1987/ASR","2447/A","4,436","45/45","CRMLSM"
"1","03/29/26","New","","26666145","A","SFR/D","26","Packet RD  ","RPV","169","STD","$1,795,000","3/2,0,0,0","1954","1631/","9,124","8/8","CLAW"
"1","02/02/26","New","","PV26019307","A","SFR/A","32548","Coastsite   ","RPV","169","STD","$1,800,000","3/4,0,0,0","1979/ASR","2846/T","1,584","63/63","CRMLSM"
"1","03/24/26","New","","PV26057653","A","SFR/D","3675","Vigilance   ","RPV","169","TRUS","$1,850,000","4/3,0,0,0","1965/ASR","2000/E","15,457","13/13","CRMLSM"
"1","04/02/26","New","","PV26067246","A","SFR/D","3570","Heroic DR  ","RPV","169","STD","$2,050,000","3/3,0,0,0","1963/PUB","1922/A","13,040","4/4","CRMLSM"
"1","03/18/26","New","","PV26029010","A","SFR/D","32508","Seawolf DR  ","RPV","169","STD","$2,395,000","4/2,1,1,0","2000/ASR","2837/A","11,693","19/19","CRMLSM"
"1","03/23/26","New","","PV26062675","A","SFR/D","33","Nuvola CT  ","RPV","169","STD","$3,450,000","4/3,0,1,0","1998/PUB","3470/A","17,510","14/14","CRMLSM"
"1","03/10/26","New","","PV26052679","A","SFR/D","32551","Seacliff DR  ","RPV","169","STD","$5,600,000","4/2,1,1,0","1989/ASR","4983/A","16,467","27/27","CRMLSM"
"1","","","","219140207DA","A","SFR/D","32524","Seacliff DR  ","RPV","169","STD","$5,990,000","5/3,1,1,0","1984/ASR","4960/A","14,211","108/108","CDAR"
"1","04/04/26","New","","PV26071976","A","SFR/D","31909","Emerald View   ","RPV","169","STD","$7,950,000","5/5,0,1,0","2025/ASR","4978/B","16,679","2/146","CRMLSM"
"1","02/17/26","Price Chg","$8,288K-&gt$7,999K","PV25171152","A","SFR/D","32009","Cape Point DR  ","RPV","169","STD","$7,998,888","6/4,2,1,0","2019/ASR","6149/B","19,368","250/250","CRMLSM"
"1","11/19/25","New","","TR25260659","A","SFR/D","2990","Twin Harbors View   ","RPV","169","STD","$8,880,000","4/6,0,0,0","2005/ASR","6208/A","12,669","138/138","CRMLSM"
"1","03/09/26","New","","SB26051384","A","SFR/D","30358","Via Rivera   ","RPV","170","STD","$2,025,000","4/1,1,1,0","1970/ASR","2779/A","10,262","28/28","CRMLSM"
"1","02/26/26","New","","PV26034542","A","SFR/D","30129","Via Rivera   ","RPV","170","STD","$2,680,000","4/1,3,0,0","1961/ASR","2510/B","10,287","39/39","CRMLSM"
"1","08/15/25","New","","WS25184322","A","SFR/D","64","Laurel DR  ","RPV","170","STD","$8,800,000","6/10,0,0,0","2001/PUB","8313/A","41,384","234/234","CRMLSM"
"1","02/09/26","New","","PV26024119","A","SFR/D","71","Marguerite   ","RPV","170","STD,TRUS","$8,950,000","4/4,0,2,0","1998/ASR","7300/T","55,111","56/56","CRMLSM"
"1","03/13/26","Price Chg","$13,880K-&gt$13,260K","WS26055278","A","SFR/D","3300","Palos Verdes   W","RPV","170","STD","$13,260,000","6/9,0,0,0","1997/APP","12279/A","48,696","24/461","CRMLSM"
"1","03/27/26","Price Chg","$17,769K-&gt$17,692K","SB25028567","A","SFR/D","57","Via Del Cielo   ","RPV","170","STD","$17,692,312","7/8,0,0,0","2007/PUB","7969/A","32,105","409/409","CRMLSM"
"1","11/21/24","New","","SB24238352","A","SFR/D","30538","Rhone DR  ","RPV","171","STD","$2,600,000","3/3,0,0,0","1978/ASR","3257/A","20,116","501/501","CRMLSM"
"1","03/16/26","New","","SB26038559","A","SFR/D","28829","Crestridge   ","RPV","172","STD","$2,950,000","4/2,0,2,0","1970/ASR","3487/A","20,673","21/21","CRMLSM"
"1","02/05/26","New","","PV26018119","A","SFR/D","10","Horseshoe   ","RHE","172","STD,TRUS","$2,990,000","5/2,1,1,0","1979/ASR","4173/A","14,785","60/60","CRMLSM"
"1","03/06/26","Price Chg","$3,288K-&gt$2,990K","PV26004756","A","SFR/D","3","Park PL  ","RPV","172","STD","$2,990,000","5/4,0,0,0","1989/ASR","3956/A","21,732","86/86","CRMLSM"
"1","01/02/26","New","","PV25281801","A","SFR/D","5215","Middlecrest RD  ","RPV","172","STD","$3,150,000","4/2,2,2,0","1962/ASR","2915/A","24,727","94/94","CRMLSM"
"1","03/11/26","New","","P1-26203","A","SFR/D","8","Burrell LN  ","RPV","172","STD","$3,498,000","3/2,0,1,0","1984/ASR","3428/A","35,117","26/26","CRMLSF"
"1","03/23/26","New","","PV26062453","A","SFR/D","21","Coveview DR  ","RPV","172","STD","$3,998,000","5/1,2,1,0","1965/ASR","3547/T","18,024","14/14","CRMLSM"
