"","Listing ID","S","Sub Type","St#","St Name","City","Area","SLC","L/C Price","Price Per Square Foot","Br/Ba","Sqft","Yr Built","LSqft/Ac","DAM/CDAM","V","PP","BAC","Contract Status Change Date","MLS"
"1","PV26006517","S","SFR/D","3512","Heroic   ","RPV","169","STD","$1,700,000","$857.29","4/3,0,0,0","1983/A","1963/ASR","12,174/0.2795","56/56","Y","N","","03/10/26","CRMLSM"
"1","PV24220089","S","SFR/D","32203","Schooner DR  ","RPV","169","STD","$1,700,000","$536.96","3/2,1,1,0","3166/A","1960/ASR","17,384/0.3991","90/232","Y","N","","02/11/25","CRMLSM"
"1","PV24071717","S","SFR/D","4121","Dauntless DR  ","RPV","169","TRUS","$1,728,400","$942.42","3/3,0,0,0","1834/A","1960/ASR","11,937/0.274","85/85","Y","Y","2.5%","07/23/24","CRMLSM"
"1","SB24051507","S","SFR/D","4212","Admirable   ","RPV","169","STD","$1,730,000","$640.98","3/1,0,1,0","2699/P","1956/PUB","10,228/0.2348","0/0","Y","N","2.5%","03/12/24","CRMLSM"
"1","SB23177622","S","SFR/D","4125","Palos Verdes DR  S","RPV","169","STD","$1,750,000","$1,047.28","3/2,0,0,0","1671/A","1959/ASR","10,631/0.2441","5/5","N","N","2.5%","10/23/23","CRMLSM"
"1","SB23160482","S","SFR/D","26","Packet RD  ","RPV","169","STD","$1,750,000","$959.96","3/2,0,0,0","1823/E","1954/ASR","9,420/0.2163","95/95","Y","Y","2.5%","01/12/24","CRMLSM"
"1","PV24093016","S","SFR/A","6501","Beachview DR  ","RPV","169","STD","$1,770,000","$723.33","3/2,0,1,0","2447/A","1988/ASR","4,415/0.1014","11/11","Y","N","2.5%","07/01/24","CRMLSM"
"1","PV25128140","S","SFR/D","4123","Stalwart Drive   ","RPV","169","STD","$1,800,000","$715.14","4/1,1,0,0","2517/A","1960/ASR","11,902/0.2732","260/260","Y","Y","","03/20/26","CRMLSM"
"1","SB23081850","S","SFR/D","3618","Vigilance DR  ","RPV","169","STD","$1,815,000","$745.38","4/1,2,0,0","2435/A","1964/ASR","19,775/0.454","49/49","Y","N","2.5%","09/01/23","CRMLSM"
"1","SB25153812","S","SFR/D","32353","Sea Raven DR  ","RPV","169","STD,TRUS","$1,825,000","$892.42","4/2,0,0,0","2045/AP","1963/ASR","10,138/0.2327","63/63","Y","N","","10/10/25","CRMLSM"
"1","PV24017103","S","SFR/D","4037","Exultant DR  ","RPV","169","STD","$1,850,000","$687.99","5/3,0,0,0","2689/A","1960/ASR","11,823/0.2714","90/90","Y","Y","2.5%","05/23/24","CRMLSM"
"1","PW25046318","S","SFR/A","6521","Sandy Point CT  ","RPV","169","STD","$1,850,000","$609.35","4/3,0,1,0","3036/A","1987/PUB","4,459/0.1024","35/111","Y","N","","05/30/25","CRMLSM"
"1","PV23110103","S","SFR/D","4240","Exultant Drive   ","RPV","169","STD","$1,875,000","$786.82","3/1,2,0,0","2383/SEE","1956/ASR","10,856/0.2492","83/83","Y","N","2.5%","10/18/23","CRMLSM"
"1","SB25073050","S","SFR/D","6180","Arrowroot LN  ","RPV","169","STD","$1,900,000","$1,136.36","3/2,0,0,0","1672/A","1956/ASR","20,286/0.4657","11/11","Y","N","","05/20/25","CRMLSM"
