"","Major Change Timestamp","Chg Type","","Listing ID","S","Sub Type","St#","St Name","City","Area","SLC","L/C Price","Br/Ba","Yr Built","Sqft","Lot Size Square Feet","DAM/CDAM","MLS"
"1","08/08/23","Closed","P-S","SB23049386","S","SFR/D","3102","Anchovy Ave.   ","SP","179","STD","$2,025,000","4/3,0,0,0","1962/ASR","2603/A","20,179","99/99","CRMLSM"
"1","10/24/25","Closed","U-S","SB25138476","S","SFR/D","3201 S","ANCHOVY AVE  ","SP","179","STD","$2,100,000","3/3,0,0,0","1962/ASR","3600/E","7,802","77/77","CRMLSM"
"1","12/21/23","Closed","P-S","SB23202170","S","SFR/D","1733","Vallecito DR  ","SP","179","STD","$2,400,000","3/2,0,1,0","1957/ASR","3613/A","11,262","29/29","CRMLSM"
"1","06/02/25","Closed","P-S","PV25074142","S","SFR/D","2037","35th Street   W","SP","179","STD,TRUS","$2,500,000","4/1,3,0,0","1959/ASR","3212/S","7,681","12/12","CRMLSM"
"1","07/19/24","Closed","P-S","OC24126247","S","SFR/D","2105 W","Paseo Del Mar   ","SP","179","TRUS","$2,825,000","3/3,0,1,0","1973/ASR","3172/A","11,003","13/13","CRMLSM"
"1","11/03/25","Expired","A-X","225002729","X","SFR/D","2120","Palos Verdes DR  W","PVE","160","STD","$1,899,000","3/2,0,0,0","1955/ASR","1846/P","7,649","154/154","VCRDS"
"1","11/01/24","Expired","H-X","DW24177426","X","SFR/D","1232","Via Landeta   ","PVE","160","TRUS","$2,000,000","4/3,0,0,0","1970/ASR","2146/A","5,794","29/29","CRMLSM"
"1","02/26/24","Expired","A-X","SB23202115","X","SFR/D","833","Tyburn RD  ","PVE","160","TRUS","$2,150,000","3/1,1,0,0","1958/PUB","1712/A","5,824","114/114","CRMLSM"
"1","10/01/24","Expired","W-X","PV23123825","X","SFR/D","2661","Via Valdes   ","PVE","160","STD","$2,250,000","3/1,0,1,0","1973/PUB","2500/AP","5,404","0/0","CRMLSM"
"1","01/01/25","Expired","W-X","PV24206122","X","SFR/D","2808","Via Anacapa   ","PVE","160","STD","$2,295,500","4/1,1,0,0","1962/ASR","2361/A","9,728","12/12","CRMLSM"
"1","09/29/25","Expired","W-X","PV25032801","X","SFR/D","3024","Via Rivera   ","PVE","160","STD","$2,399,000","3/2,0,1,0","1965/ASR","2255/A","6,695","195/195","CRMLSM"
"1","10/27/25","Expired","A-X","PV25074328","X","SFR/D","2329","Via Olivera   ","PVE","160","STD","$2,499,000","6/3,1,1,0","1972/ASR","4221/A","17,637","161/161","CRMLSM"
"1","12/20/24","Expired","W-X","PTP2403583","X","SFR/D","3024","Via Rivera   ","PVE","160","STD","$2,499,000","3/2,0,1,0","1965/ASR","2255/A","6,695","159/159","CRMLSP"
"1","08/01/24","Expired","W-X","SB24067816","X","SFR/D","2408","Via Pacheco   ","PVE","160","STD","$2,525,000","3/2,0,0,0","1962/PUB","1952/A","7,433","95/95","CRMLSM"
"1","06/13/24","Expired","A-X","SB23189082","X","SFR/D","3024","Via Rivera   ","PVE","160","STD","$2,649,000","3/2,0,1,0","1965/ASR","2255/A","6,695","195/195","CRMLSM"
"1","11/01/25","Expired","W-X","PV25063412","X","SFR/D","1917","Via Estudillo   ","PVE","160","STD","$2,680,000","5/4,0,0,0","1972/PUB","2900/A","8,928","0/0","CRMLSM"
"1","","Expired","W-X","24423345","X","SFR","3016","Via Buena   ","PVE","160","STD","$2,749,000","4/2,0,1,0","1974","3068/","10,927","119/119","CLAW"
"1","07/04/25","Expired","A-X","SB25020360","X","SFR/D","2121","Palos Verdes DR  W","PVE","160","STD","$3,220,000","4/1,2,2,0","1992/PUB","4371/A","10,153","133/133","CRMLSM"
"1","09/09/24","Expired","W-X","PV24080038","X","SFR/D","1801","Via Estudillo   ","PVE","160","STD","$3,298,000","4/2,0,2,0","1969/PUB","2845/S","8,070","74/74","CRMLSM"
"1","05/29/24","Expired","W-X","SB23157339","X","SFR/D","2381","Via Anacapa   ","PVE","160","TRUS","$3,499,000","4/2,1,0,0","1951/ASR","2742/A","15,356","135/135","CRMLSM"
"1","07/25/24","Expired","W-X","SB24128807","X","SFR/D","1535","Via Coronel   ","PVE","160","STD","$3,650,000","4/4,0,0,0","1988/ASR","4677/A","17,532","0/0","CRMLSM"
"1","07/21/23","Expired","A-X","OC23067727","X","SFR/D","1547","Via Coronel   ","PVE","160","STD","$3,890,000","5/4,0,1,0","1987/ASR","5370/A","16,648","84/84","CRMLSM"
"1","11/17/25","Expired","A-X","SB25253022","X","SFR/D","1336","Palos Verdes DR  W","PVE","160","STD","$4,295,000","5/4,0,0,0","2017/ASR","3569/A","19,115","13/299","CRMLSM"
"1","11/01/25","Expired","A-X","SB25195099","X","SFR/D","1336","Palos Verdes DR  W","PVE","160","STD","$4,295,000","5/4,0,0,0","2017/ASR","3569/A","19,115","63/286","CRMLSM"
"1","10/30/24","Expired","A-X","SB24084806","X","SFR/D","1509","Via Coronel   ","PVE","160","STD","$4,499,000","4/3,0,1,0","1977/ASR","4658/A","15,419","183/183","CRMLSM"
"1","09/02/23","Expired","H-X","SB23087211","X","SFR/D","2878","Via Victoria   ","PVE","160","STD","$5,250,000","5/4,0,1,0","1972/PUB","3755/A","21,323","94/94","CRMLSM"
"1","10/06/24","Expired","A-X","PV24044042","X","SFR/D","1736","Paseo Del Mar   ","PVE","160","STD","$5,777,000","5/4,0,0,0","2023/SLR","4363/T","10,635","206/206","CRMLSM"
"1","08/02/23","Expired","A-X","22198817","X","SFR","1328","Palos Verdes Dr W   ","PVE","160","STD","$6,499,000","7/5,2,1,0","1981/ASR","8170/D","19,203","228/228","CLAW"
"1","12/21/24","Expired","A-X","SB24124278","X","SFR/D","1640","Paseo Del Mar   ","PVE","160","STD","$6,599,000","5/2,2,2,0","1976/ASR","4300/A","11,663","179/179","CRMLSM"
"1","06/01/25","Expired","A-X","SB24214415","X","SFR/D","2733","Paseo Del Mar   ","PVE","160","TRUS","$7,700,000","5/3,0,0,0","1965/ASR","3350/A","27,385","198/198","CRMLSM"
"1","01/01/25","Expired","W-X","SB23013412","X","SFR/D","1757","Paseo Del Mar   ","PVE","160","STD","$13,000,000","7/5,0,1,0","1969/ASR","4832/A","34,386","443/443","CRMLSM"
"1","03/31/25","Expired","A-X","PV24202409","X","SFR/D","2345","Via Acalones   ","PVE","162","STD","$2,499,000","3/2,0,1,0","1959/ASR","2298/A","8,591","69/69","CRMLSM"
"1","08/20/25","Expired","A-X","PW25031150","X","SFR/D","1212","Granvia Altamira   ","PVE","162","STD","$2,600,000","4/2,1,1,0","1962/ASR","3001/A","12,723","178/178","CRMLSM"
"1","02/02/25","Expired","W-X","PV24164568","X","SFR/D","1500","Via Arco   ","PVE","162","STD","$2,825,000","4/3,0,0,0","1976/ASR","3000/E","29,061","73/73","CRMLSM"
"1","12/14/25","Expired","A-X","PV25249382","X","SFR/D","536","Via Almar   ","PVE","162","STD","$2,899,000","4/1,2,0,0","1961/ASR","2100/A","7,026","30/30","CRMLSM"
"1","12/07/23","Expired","A-X","PV23101801","X","SFR/D","1420","Granvia Altamira   ","PVE","162","STD","$2,899,000","4/3,0,1,0","1972/ASR","3129/A","19,246","181/181","CRMLSM"
"1","06/16/25","Expired","A-X","PV24166835","X","SFR/D","989","Via Rincon   ","PVE","162","STD","$2,999,000","4/4,0,0,0","1990/ASR","4668/A","11,617","307/307","CRMLSM"
"1","01/01/26","Expired","W-X","PV25221278","X","SFR/D","2457","Via Sonoma   ","PVE","162","STD","$3,500,000","4/3,0,1,0","1959/ASR","2852/A","24,986","90/90","CRMLSM"
"1","","Expired","H-X","25611261","X","SFR/D","1300","Granvia Altamira   ","PVE","162","STD","$3,750,000","4/3,0,2,0","1955","3119/A","21,590","20/20","CLAW"
"1","08/27/25","Expired","H-X","PV25033583","X","SFR/D","2457","Via Sonoma   ","PVE","162","STD","$3,900,000","4/3,0,1,0","1959/ASR","2852/A","24,986","119/119","CRMLSM"
"1","10/06/23","Expired","H-X","SB23115689","X","SFR/D","1580","Via Zurita   ","PVE","162","STD","$3,999,000","4/3,0,1,0","1987/ASR","4130/D","15,464","83/83","CRMLSM"
"1","07/26/23","Expired","A-X","OC23016890","X","SFR/D","2209","Via Cerritos   ","PVE","162","STD","$4,500,000","7/4,0,2,0","1976/ASR","5838/D","13,718","174/174","CRMLSM"
"1","06/10/24","Expired","W-X","WS23217213","X","SFR/D","2035","Via Visalia   ","PVE","162","STD","$4,785,000","5/4,0,1,0","1963/ASR","4206/A","17,641","110/110","CRMLSM"
"1","06/01/25","Expired","A-X","PV24118465","X","SFR/D","1548","Via Martinez   ","PVE","162","STD","$4,990,000","6/6,0,1,0","1989/ASR","5862/A","12,453","309/309","CRMLSM"
"1","03/01/26","Expired","A-X","PV25216906","X","SFR/D","6039","Via Sonoma   ","RPV","162","STD","$5,999,000","5/1,4,1,0","1969/ASR","5342/AP","13,671","168/168","CRMLSM"
"1","","Expired","H-X","25599111","X","SFR/D","1325","Via Gabriel   ","PVE","162","STD","$6,388,000","6/8,0,0,0","1976/OTH","5861/OTH","12,882","48/48","CLAW"
"1","10/16/25","Expired","A-X","PV25159314","X","SFR/D","1409","Via Arco   ","PVE","162","STD","$6,450,000","5/2,3,2,0","1970/ASR","6258/AP","29,643","90/272","CRMLSM"
"1","09/01/24","Expired","A-X","PV24123523","X","SFR/D","6039","Via Sonoma   ","RPV","162","STD","$6,500,000","5/2,3,1,0","1969/ASR","5346/S","13,671","72/72","CRMLSM"
"1","12/01/24","Expired","A-X","OC24167158","X","SFR/D","2521","Novato PL  ","PVE","162","TRUS","$6,529,000","3/1,2,0,0","1955/ASR","3586/A","65,179","109/201","CRMLSM"
"1","08/01/24","Expired","A-X","OC24084799","X","SFR/D","2521","Novato PL  ","PVE","162","TRUS","$6,630,000","3/1,2,0,0","1955/ASR","3586/A","65,179","92/92","CRMLSM"
"1","07/01/25","Expired","A-X","OC25024075","X","SFR/D","2521","Novato PL  ","PVE","162","TRUS","$6,780,000","3/1,2,0,0","1955/ASR","3586/A","65,179","148/349","CRMLSM"
"1","01/01/26","Expired","A-X","OC25153371","X","SFR/D","2521","Novato PL  ","PVE","162","TRUS","$6,880,000","3/1,2,0,0","1955/ASR","3586/A","65,179","176/525","CRMLSM"
"1","05/01/25","Expired","A-X","PV25028140","X","SFR/D","1325","Via Gabriel   ","PVE","162","STD","$6,995,000","6/6,0,2,0","2025/SLR","5861/S","12,882","67/67","CRMLSM"
"1","07/23/25","Expired","A-X","OC25111367","X","SFR/D","1502","Paseo La Cresta   ","PVE","162","STD","$7,999,999","6/5,0,1,0","2000/PUB","7556/S","31,236","64/144","CRMLSM"
"1","08/16/24","Expired","A-X","SB24087729","X","SFR/D","1502","Paseo La Cresta   ","PVE","162","STD","$8,500,000","6/5,0,1,0","2000/ASR","7556/A","31,236","92/92","CRMLSM"
"1","01/01/24","Expired","W-X","EV23146250","X","SFR/D","732","Via Del Monte   ","PVE","163","STD","$2,600,000","3/3,0,0,0","1957/PUB","2426/A","7,516","130/130","CRMLSM"
"1","11/19/23","Expired","W-X","PV23085662","X","SFR/D","809","Via Conejo   ","PVE","163","STD","$2,999,995","3/1,1,0,0","1951/ASR","2468/A","7,987","82/82","CRMLSM"
"1","12/21/24","Expired","W-X","PV24207390","X","SFR/D","556","Via Media   ","PVE","163","STD","$3,285,000","4/1,2,0,0","1952/ASR","2601/A","6,730","59/59","CRMLSM"
"1","10/20/24","Expired","A-X","NS24148096","X","SFR/D","797","Via Somonte   ","PVE","163","STD","$3,400,000","4/3,0,0,0","1956/ASR","2365/A","8,104","92/92","CRMLSM"
"1","01/31/24","Expired","W-X","PV23158340","X","SFR/D","360","Via Almar   ","PVE","163","STD","$3,450,000","3/2,0,1,0","1960/ASR","2391/A","16,663","49/49","CRMLSM"
"1","08/01/25","Expired","A-X","PV25070376","X","SFR/D","541","Via Del Monte   ","PVE","163","STD","$3,739,000","3/2,1,0,0","1930/ASR","2338/A","9,459","121/121","CRMLSM"
"1","07/18/24","Expired","A-X","PW24072796","X","SFR/D","541","via del monte   ","PVE","163","STD","$3,788,888","3/3,0,0,0","1930/PUB","2338/P","9,417","86/86","CRMLSM"
"1","07/17/23","Expired","W-X","PV23026956","X","SFR/D","813","Via Somonte   ","PVE","163","STD","$3,799,000","5/2,1,1,0","1968/ASR","3217/T","7,932","132/132","CRMLSM"
"1","01/01/24","Expired","W-X","SB23091782","X","SFR/D","2312","Via Pinale   ","PVE","163","STD","$3,850,000","5/4,0,1,0","1992/ASR","4464/A","13,769","41/41","CRMLSM"
"1","01/01/24","Expired","A-X","PV23178152","X","SFR/D","621","Palos Verdes DR  W","PVE","163","STD","$3,899,000","4/3,0,1,0","1956/BLD","2450/B","7,893","99/99","CRMLSM"
"1","08/19/23","Expired","A-X","OC23073211","X","SFR/D","541","Via Del Monte   ","PVE","163","STD","$3,978,000","3/2,1,0,0","1930/ASR","2338/A","9,456","69/69","CRMLSM"
"1","04/01/26","Expired","A-X","OC26019571","X","SFR/D","605","Palos Verdes DR  W","PVE","163","STD","$4,199,000","4/2,0,1,0","1965/PUB","2855/A","7,450","62/62","CRMLSM"
"1","11/22/24","Expired","W-X","PV24103810","X","SFR/D","773","Via Somonte   ","PVE","163","STD,TRUS","$4,750,000","4/3,0,0,0","1958/ASR","2332/A","7,544","48/48","CRMLSM"
"1","04/01/26","Expired","A-X","PV24065462","X","SFR/D","702","Via La Cuesta   ","PVE","163","STD","$8,790,000","6/4,2,1,0","1995/ASR","9932/A","48,095","646/646","CRMLSM"
"1","05/17/25","Expired","A-X","PV25050513","X","SFR/D","1115","Palos Verdes Drive West   ","PVE","163","STD","$8,950,000","4/3,0,0,0","1952/ASR","2866/A","20,627","65/106","CRMLSM"
"1","","Expired","A-X","25512915","X","SFR","605","Paseo Del Mar   ","PVE","163","STD","$12,999,999","7/6,0,2,0","1970/ASR","6872/A","32,950","40/40","CLAW"
"1","01/01/25","Expired","A-X","SB24197252","X","SFR/D","3021","Palos Verdes Drive North   N","PVE","164","STD","$2,199,000","4/2,0,1,0","1956/ASR","1799/A","8,361","99/160","CRMLSM"
"1","09/22/24","Expired","A-X","SB24150007","X","SFR/D","3021","Palos Verdes Drive North   ","PVE","164","STD","$2,199,000","4/2,0,1,0","1956/ASR","1799/A","8,378","61/61","CRMLSM"
"1","02/01/24","Expired","W-X","WS23141124","X","SFR/D","4409","Via Pavion   ","PVE","164","STD","$2,360,000","3/2,1,0,0","1956/PUB","2350/A","7,406","170/170","CRMLSM"
"1","07/01/25","Expired","A-X","AR25069891","X","SFR/D","4321","Via Azalea   ","PVE","164","STD","$2,500,000","4/3,0,1,0","1973/ASR","2580/AP","14,789","82/82","CRMLSM"
