2026-04-29T23:31:33.893186+00:00 start: 0 URLs already crawled (resume)
2026-04-29T23:31:33.899991+00:00 sitemap: 4140 lawn-garden URLs (no query) | todo: 4140
2026-04-30T00:31:21.489983+00:00 progress 3450/4140 | parsed=3355 skip=95 err=0 | 0.96/s | ETA 12.0min
2026-04-30T00:32:11.646811+00:00 progress 3500/4140 | parsed=3401 skip=99 err=0 | 0.96/s | ETA 11.1min
2026-04-30T00:33:01.861575+00:00 progress 3550/4140 | parsed=3451 skip=99 err=0 | 0.96/s | ETA 10.2min
2026-04-30T00:33:51.857645+00:00 progress 3600/4140 | parsed=3492 skip=108 err=0 | 0.96/s | ETA 9.3min
2026-04-30T00:34:46.616693+00:00 progress 3650/4140 | parsed=3537 skip=113 err=0 | 0.96/s | ETA 8.5min
2026-04-30T00:35:37.077394+00:00 progress 3700/4140 | parsed=3587 skip=113 err=0 | 0.96/s | ETA 7.6min
2026-04-30T00:36:27.413842+00:00 progress 3750/4140 | parsed=3637 skip=113 err=0 | 0.96/s | ETA 6.7min
2026-04-30T00:37:17.683801+00:00 progress 3800/4140 | parsed=3687 skip=113 err=0 | 0.96/s | ETA 5.9min
2026-04-30T00:38:07.739813+00:00 progress 3850/4140 | parsed=3737 skip=113 err=0 | 0.96/s | ETA 5.0min
2026-04-30T00:38:57.872102+00:00 progress 3900/4140 | parsed=3781 skip=119 err=0 | 0.96/s | ETA 4.1min
2026-04-30T00:39:48.158869+00:00 progress 3950/4140 | parsed=3831 skip=119 err=0 | 0.96/s | ETA 3.3min
2026-04-30T00:40:38.363887+00:00 progress 4000/4140 | parsed=3881 skip=119 err=0 | 0.97/s | ETA 2.4min
2026-04-30T00:41:28.431452+00:00 progress 4050/4140 | parsed=3931 skip=119 err=0 | 0.97/s | ETA 1.6min
2026-04-30T00:42:21.322294+00:00 progress 4100/4140 | parsed=3981 skip=119 err=0 | 0.97/s | ETA 0.7min
2026-04-30T00:43:01.414539+00:00 progress 4140/4140 | parsed=4021 skip=119 err=0 | 0.97/s | ETA 0.0min
2026-04-30T00:43:01.979294+00:00 done crawled=4140 parsed=4021 skipped=119 errs=0 elapsed=71.5min
